station	dt	qobs	qcal	pmean	wmean	eta	ep	temp	tempmax	tempmin
zhangjiafen	1960-1-2	20.400	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-4	21.900	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-6	16.800	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-8	19.400	10.000	0.100	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-10	17.900	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-12	19.300	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-14	19.800	10.000	0.700	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-16	20.300	10.000	0.100	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-18	23.900	10.000	0.400	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-20	19.000	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-22	13.700	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-24	12.700	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-26	18.200	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-28	19.500	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-30	18.800	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-2-1	23.600	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-3	23.200	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-5	24.100	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-7	21.300	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-9	18.000	10.000	0.200	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-1-1	19.100	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-3	21.700	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-5	19.700	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-7	21.400	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-9	18.500	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-11	18.300	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-13	19.900	10.000	0.100	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-15	21.200	10.000	1.100	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-17	22.800	10.000	0.500	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-19	21.300	10.000	0.400	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-1-21	17.200	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-23	13.900	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-25	18.700	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-27	20.800	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-29	18.100	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-1-31	18.700	10.000	0	100.000	0.100	0.600	0	0	0
zhangjiafen	1960-2-2	22.700	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-4	22.900	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-6	22.800	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-8	20.900	10.000	0.200	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-2-10	18.500	10.000	0.400	100.000	0.100	1.100	0	0	0
