coordx	coordy	rank
859514.0810	4489814.5418	365
860014.0810	4485814.5418	360
860014.0810	4486314.5418	359
860014.0810	4486814.5418	359
860014.0810	4487314.5418	359
860014.0810	4487814.5418	360
860014.0810	4489314.5418	365
860014.0810	4489814.5418	364
860014.0810	4490314.5418	364
860514.0810	4485814.5418	360
860514.0810	4486314.5418	359
860514.0810	4486814.5418	358
860514.0810	4487314.5418	358
860514.0810	4487814.5418	359
860514.0810	4488314.5418	358
860514.0810	4489314.5418	364
860514.0810	4489814.5418	363
860514.0810	4490314.5418	363
860514.0810	4490814.5418	363
860514.0810	4491814.5418	362
860514.0810	4492314.5418	362
861014.0810	4485814.5418	358
861014.0810	4486314.5418	358
861014.0810	4486814.5418	357
861014.0810	4487314.5418	357
861014.0810	4487814.5418	357
861014.0810	4488314.5418	357
861014.0810	4488814.5418	357
861014.0810	4489314.5418	364
861014.0810	4489814.5418	363
861014.0810	4490314.5418	362
861014.0810	4490814.5418	362
861014.0810	4491314.5418	362
861014.0810	4491814.5418	361
861014.0810	4492314.5418	360
861014.0810	4492814.5418	360
861014.0810	4493314.5418	360
861014.0810	4493814.5418	360
861514.0810	4482814.5418	359
861514.0810	4484314.5418	359
861514.0810	4484814.5418	359
861514.0810	4485314.5418	358
861514.0810	4485814.5418	358
861514.0810	4486314.5418	357
861514.0810	4486814.5418	356
861514.0810	4487314.5418	356
861514.0810	4487814.5418	356
861514.0810	4488314.5418	356
861514.0810	4488814.5418	356
861514.0810	4489314.5418	364
861514.0810	4489814.5418	363
861514.0810	4490314.5418	362
861514.0810	4490814.5418	361
861514.0810	4491314.5418	361
861514.0810	4491814.5418	360
861514.0810	4492314.5418	359
861514.0810	4492814.5418	359
861514.0810	4493314.5418	359
861514.0810	4493814.5418	359
861514.0810	4494314.5418	362
861514.0810	4494814.5418	363
862014.0810	4472314.5418	350
862014.0810	4472814.5418	350
862014.0810	4473314.5418	350
862014.0810	4473814.5418	350
862014.0810	4482814.5418	358
862014.0810	4483314.5418	358
