dushikou 	0.66	0.82	0.7	1.1	1.1	1.08
gangfangyao	0.59	0.84	0.6	0.9	1.1	1.30
maying	0.79	0.89	0.5	1.0	1.1	1.10
maoyupu	0.71	0.85	0.5	1.0	1.1	1.10
hulonggou	0.67	0.82	0.6	1.3	1.1	0.90
yunzhousk	0.87	0.93	0.4	1.1	1.1	1.06
zhenanpu	0.68	0.83	0.6	1.1	1.2	1.09
zhenningpu	0.82	0.91	0.5	1.0	1.1	1.11
yangtian	0.80	0.89	0.5	1.1	1.2	1.05
zhuanlou	0.77	0.88	0.6	1.3	1.1	0.90
paoliang	0.76	0.88	0.6	1.1	1.2	1.08
longguan	0.47	0.69	0.7	1.2	1.1	0.92
tianjiayao	0.66	0.81	0.6	1.2	1.2	0.99
dongshanmiao	0.66	0.85	0.6	0.9	1.1	1.23
diaoe	0.64	0.80	0.6	1.0	1.1	1.10
shangzhuangzi	0.81	0.90	0.6	1.1	1.2	1.09
nanbuzi	0.81	0.90	0.5	1.1	1.2	1.08
xiapu	0.88	0.94	0.5	1.2	1.3	1.02
baihepu	0.75	0.88	0.7	1.4	1.3	0.88
wanquansi	0.84	0.92	0.5	1.2	1.2	1.05
shicao	0.78	0.89	0.7	1.4	1.3	0.91
qianjiadian	0.81	0.90	0.6	1.2	1.3	1.11
heilongshan	0.68	0.84	0.6	1.4	1.3	0.88
qingyanggou	0.80	0.90	0.6	1.3	1.2	0.92
baichao	0.81	0.90	0.5	1.3	1.3	1.01
sidaogou	0.91	0.96	0.4	1.3	1.3	1.00
dongwankou	0.83	0.91	0.5	1.2	1.2	1.03
qiansongtai	0.75	0.88	0.8	1.6	1.3	0.79
hedaziying	0.73	0.87	0.6	1.2	1.3	1.09
dongmao	0.86	0.93	0.5	1.2	1.3	1.05
sandaoying	0.85	0.93	0.5	1.4	1.3	0.92
sihai	0.74	0.88	0.9	1.4	1.3	0.90
baoshansi	0.74	0.87	0.6	1.1	1.4	1.26
daodekeng	0.73	0.86	0.8	1.4	1.3	0.91
dengjiashanzi	0.76	0.87	0.7	1.3	1.3	0.98
sandaohe	0.52	0.72	0.9	1.4	1.3	0.98
labagoumen	0.76	0.88	0.8	1.5	1.3	0.87
xiaoliangqian	0.53	0.77	0.8	1.3	1.4	1.07
changshaoying	0.68	0.84	1.0	1.6	1.4	0.90
tanghekou	0.85	0.93	0.6	1.5	1.3	0.87
qifengcha	0.75	0.87	0.7	1.1	1.4	1.30
liulimiao	0.81	0.90	0.7	1.4	1.3	0.94
zhangjiafen	0.55	0.83	1.1	2.0	1.3	0.66
