anchungoumen	0.79		-0.1	1.5	1.4	0.91
baichao	0.66		0.1	1.1	1.2	1.06
baihepu	0.68		0.1	1.1	1.2	1.11
banchengzi	0.65		0.4	1.1	1.5	1.35
beishuangdong	0.75		-0.8	2.3	1.5	0.64
caojialu	0.77		0.1	1.4	1.5	1.10
changshaoying	-0.68		0.5	1.0	1.4	1.48
chicheng 	0.17		-0.3	1.1	0.8	0.72
dage	0.23		-0.5	1.6	1.1	0.71
daiying	0.87		-0.3	1.6	1.4	0.84
daodekeng	0.04		0.4	0.8	1.2	1.56
dapo	0.72		-0.1	1.5	1.4	0.93
dengjiashanzi	0.59		-0.5	1.8	1.2	0.69
diaoe	-0.12		0.3	0.9	1.1	1.32
dongwankou	0.66		-0.2	1.3	1.1	0.86
duiyu	0.85		0.2	1.1	1.3	1.17
dushikou 	0.22		0.5	0.6	1.1	1.80
erdaogoumen	0.18		0.5	0.8	1.3	1.59
fanzipai	0.34		-0.5	1.5	1.0	0.67
gubeikou	0.89		0	1.4	1.5	1.03
hedaziying	0.40		-0.1	1.2	1.1	0.95
hedong	0.77		0	1.3	1.3	1.00
heilongshan	0.30		-0.5	1.7	1.1	0.69
hushiha	0.82		-0.1	1.4	1.3	0.94
liangjianfang	0.75		0.1	1.4	1.5	1.09
liudaohe	0.82		0.1	1.6	1.7	1.05
longguan	0.63		-0.2	1.2	1.1	0.86
longtan	0.81		0.2	1.1	1.3	1.18
maoyupu	0.63		0	1.0	1.0	0.98
maying	0.82		0.1	0.9	1.0	1.09
miyunshuiku	0.79		-0.1	1.7	1.6	0.96
mujianggoumen	0.49		0.2	1.0	1.3	1.22
nanbozi	0.06		0.5	0.7	1.2	1.77
nanguan	0.36		0.3	1.0	1.3	1.34
nanxinying	0.28		0.5	0.8	1.3	1.59
putaoyuan	0.91		0	1.5	1.4	0.99
qiangzilu	0.83		0.2	1.5	1.7	1.12
qianjiadian	0.24		-0.3	1.4	1.1	0.80
sandaoying	0.76		0.1	1.1	1.2	1.08
shanghuangqi	0.56		-0.4	1.5	1.2	0.77
shipozi	0.88		0.1	1.2	1.2	1.08
shirengou	0.68		-0.3	1.6	1.3	0.79
sidaoxue	0.76		-0.1	1.3	1.2	0.94
sihai	0.49		-0.5	1.7	1.2	0.72
tanghekou	0.81		0	1.2	1.2	1.01
tuchengzi	0.62		0	1.3	1.3	1.00
xiaobazi	0.31		0.2	1.0	1.3	1.24
xiapu	0.77		-0.1	1.2	1.1	0.94
xinzhuang	0.93		-0.1	1.5	1.4	0.92
yunzhou	0.85		0.1	0.9	1.0	1.11
zaoshulin	0.78		-0.4	1.9	1.5	0.78
zhenanpu	-0.46		0.4	0.7	1.1	1.47
zhenningpu	0.81		0	1.0	1.0	1.01
