	Isample	g1	g2	Kr	KAW	AW0	Var
5001	    0.3066	    0.3050	    0.0880	    1.5170	   29.2620	    0.0208
5002	    0.3066	    0.3050	    0.0880	    1.5170	   29.2620	    0.0208
5003	    0.3066	    0.3050	    0.0880	    1.5170	   29.2620	    0.0208
5004	    0.3066	    0.3050	    0.0880	    1.5170	   29.2620	    0.0208
5005	    0.3066	    0.3050	    0.0880	    1.5170	   29.2620	    0.0208
5006	    0.3066	    0.2980	    0.0880	    1.5170	   29.2620	    0.0208
5007	    0.3066	    0.2980	    0.0880	    1.5170	   29.2620	    0.0208
5008	    0.3066	    0.2980	    0.0880	    1.5170	   29.2950	    0.0208
5009	    0.3066	    0.2980	    0.0880	    1.5170	   29.2950	    0.0208
5010	    0.3066	    0.2980	    0.0880	    1.5170	   29.3360	    0.0208
5011	    0.3066	    0.2980	    0.0880	    1.5170	   29.3110	    0.0208
5012	    0.3066	    0.2980	    0.0880	    1.5170	   29.3110	    0.0208
5013	    0.3066	    0.2980	    0.0880	    1.5170	   29.3110	    0.0208
5014	    0.3066	    0.2980	    0.0880	    1.5270	   29.3110	    0.0208
5015	    0.2966	    0.2980	    0.0880	    1.5270	   29.3110	    0.0208
5016	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0208
5017	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0208
5018	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0208
5019	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0208
5020	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0921
5021	    0.2966	    0.2980	    0.0880	    1.5270	   29.3270	    0.0921
5022	    0.2966	    0.2690	    0.0880	    1.5270	   29.3270	    0.0921
5023	    0.2966	    0.2690	    0.0880	    1.5340	   29.3270	    0.0921
5024	    0.2966	    0.2690	    0.0880	    1.5340	   29.3270	    0.0491
5025	    0.2966	    0.2690	    0.0880	    1.5340	   29.3270	    0.0491
5026	    0.2966	    0.2690	    0.0880	    1.5340	   29.3440	    0.0491
5027	    0.2966	    0.2640	    0.0880	    1.5340	   29.3440	    0.0491
5028	    0.2966	    0.2640	    0.0880	    1.5340	   29.3440	    0.0491
5029	    0.2966	    0.2640	    0.0880	    1.5340	   29.3830	    0.0491
5030	    0.2966	    0.2640	    0.0880	    1.5830	   29.3830	    0.0491
5031	    0.2966	    0.2810	    0.0880	    1.5830	   29.3830	    0.0491
5032	    0.2966	    0.2810	    0.0880	    1.5830	   29.3830	    0.0129
5033	    0.2966	    0.2810	    0.0880	    1.5830	   29.3830	    0.0129
5034	    0.2966	    0.2810	    0.0880	    1.5830	   29.3840	    0.0129
5035	    0.2966	    0.2810	    0.0880	    1.5830	   29.3840	    0.0951
5036	    0.2966	    0.2810	    0.0880	    1.5830	   29.3840	    0.0951
5037	    0.2966	    0.3130	    0.0880	    1.5830	   29.3840	    0.0951
5038	    0.2966	    0.3130	    0.0880	    1.5830	   29.3840	    0.1021
5039	    0.2966	    0.3130	    0.0710	    1.5830	   29.3840	    0.1021
5040	    0.2966	    0.3130	    0.0710	    1.5830	   29.3840	    0.1021
5041	    0.2966	    0.3130	    0.0710	    1.5830	   29.4100	    0.1021
5042	    0.2966	    0.3130	    0.0710	    1.5830	   29.4100	    0.1081
5043	    0.2966	    0.3130	    0.0710	    1.5830	   29.4000	    0.1081
5044	    0.2966	    0.3390	    0.0710	    1.5830	   29.4000	    0.1081
5045	    0.2966	    0.3390	    0.0710	    1.5830	   29.4000	    0.1011
5046	    0.2966	    0.3390	    0.0710	    1.5830	   29.4000	    0.1011
5047	    0.2966	    0.3390	    0.0710	    1.5830	   29.4000	    0.0861
5048	    0.2966	    0.3390	    0.0710	    1.5830	   29.4000	    0.0861
5049	    0.2966	    0.3390	    0.0710	    1.5830	   29.3840	    0.0861
5050	    0.2966	    0.3390	    0.0680	    1.5830	   29.3840	    0.0861
